Park,Date/Time,Wait Time
Disneyland,4/2/2024 10:20,40
Disneyland,4/2/2024 10:25,41
Disneyland,4/2/2024 10:30,41
Disneyland,4/2/2024 10:35,41
Disneyland,4/2/2024 10:40,41
Disneyland,4/2/2024 10:45,41
Disneyland,4/2/2024 10:50,40
Disneyland,4/2/2024 10:55,42
Disneyland,4/2/2024 11:00,43
Disneyland,4/2/2024 11:05,44
Disneyland,4/2/2024 11:10,45
Disneyland,4/2/2024 11:15,44
Disneyland,4/2/2024 11:20,45
Disneyland,4/2/2024 11:25,45
Disneyland,4/2/2024 11:30,43
Disneyland,4/2/2024 11:35,43
Disneyland,4/2/2024 11:40,43
Disneyland,4/2/2024 11:45,44
Disneyland,4/2/2024 11:50,45
Disneyland,4/2/2024 11:55,43
Disneyland,4/2/2024 12:00,44
Disneyland,4/2/2024 12:05,43
Disneyland,4/2/2024 12:10,43
Disneyland,4/2/2024 12:15,46
Disneyland,4/2/2024 12:20,45
Disneyland,4/2/2024 12:25,46
Disneyland,4/2/2024 12:30,44
Disneyland,4/2/2024 12:35,44
Disneyland,4/2/2024 12:40,46
Disneyland,4/2/2024 12:45,47
Disneyland,4/2/2024 12:50,47
Disneyland,4/2/2024 12:55,43
Disneyland,4/2/2024 13:00,44
Disneyland,4/2/2024 13:05,43
Disneyland,4/2/2024 13:10,46
Disneyland,4/2/2024 13:15,45
Disneyland,4/2/2024 13:20,46
Disneyland,4/2/2024 13:25,46
Disneyland,4/2/2024 13:30,47
Disneyland,4/2/2024 13:35,46
Disneyland,4/2/2024 13:40,48
Disneyland,4/2/2024 13:45,45
Disneyland,4/2/2024 13:50,45
Disneyland,4/2/2024 13:55,45
Disneyland,4/2/2024 14:00,45
Disneyland,4/2/2024 14:05,45
Disneyland,4/2/2024 14:10,45
Disneyland,4/2/2024 14:15,46
Disneyland,4/2/2024 14:20,46
Disneyland,4/2/2024 14:25,46
Disneyland,4/2/2024 14:30,47
Disneyland,4/2/2024 14:35,44
Disneyland,4/2/2024 14:40,45
Disneyland,4/2/2024 14:45,44
Disneyland,4/2/2024 14:50,45
Disneyland,4/2/2024 14:55,43
Disneyland,4/2/2024 15:00,40
Disneyland,4/2/2024 15:05,37
Disneyland,4/2/2024 15:10,37
Disneyland,4/2/2024 15:15,37
Disneyland,4/2/2024 15:20,35
Disneyland,4/2/2024 15:25,35
Disneyland,4/2/2024 15:30,35
Disneyland,4/2/2024 15:35,35
Disneyland,4/2/2024 15:40,36
Disneyland,4/2/2024 15:45,40
Disneyland,4/2/2024 15:50,40
Disneyland,4/2/2024 15:55,42
Disneyland,4/2/2024 16:00,46
Disneyland,4/2/2024 16:05,47
Disneyland,4/2/2024 16:10,49
Disneyland,4/2/2024 16:15,44
Disneyland,4/2/2024 16:20,46
Disneyland,4/2/2024 16:25,44
Disneyland,4/2/2024 16:30,43
Disneyland,4/2/2024 16:35,45
Disneyland,4/2/2024 16:40,44
Disneyland,4/2/2024 16:45,43
Disneyland,4/2/2024 16:50,41
Disneyland,4/2/2024 16:55,40
Disneyland,4/2/2024 17:00,39
Disneyland,4/2/2024 17:05,39
Disneyland,4/2/2024 17:10,38
Disneyland,4/2/2024 17:15,36
Disneyland,4/2/2024 17:20,36
Disneyland,4/2/2024 17:25,35
Disneyland,4/2/2024 17:30,35
Disneyland,4/2/2024 17:35,36
Disneyland,4/2/2024 17:40,35
Disneyland,4/2/2024 17:45,34
Disneyland,4/2/2024 17:50,34
Disneyland,4/2/2024 17:55,32
Disneyland,4/2/2024 18:00,32
Disneyland,4/2/2024 18:05,33
Disneyland,4/2/2024 18:10,33
Disneyland,4/2/2024 18:15,39
Disneyland,4/2/2024 18:20,40
Disneyland,4/2/2024 18:25,43
Disneyland,4/2/2024 18:30,41
Disneyland,4/2/2024 18:35,41
Disneyland,4/2/2024 18:40,41
Disneyland,4/2/2024 18:45,40
Disneyland,4/2/2024 18:50,40
Disneyland,4/2/2024 18:55,40
Disneyland,4/2/2024 19:00,42
Disneyland,4/2/2024 19:05,39
Disneyland,4/2/2024 19:10,39
Disneyland,4/2/2024 19:15,41
Disneyland,4/2/2024 19:20,37
Disneyland,4/2/2024 19:25,36
Disneyland,4/2/2024 19:30,35
Disneyland,4/2/2024 19:35,35
Disneyland,4/2/2024 19:40,33
Disneyland,4/2/2024 19:45,31
Disneyland,4/2/2024 19:50,31
Disneyland,4/2/2024 19:55,34
Disneyland,4/2/2024 20:00,33
Disneyland,4/2/2024 20:05,33
Disneyland,4/2/2024 20:10,33
Disneyland,4/2/2024 20:15,35
Disneyland,4/2/2024 20:20,34
Disneyland,4/2/2024 20:25,34
Disneyland,4/2/2024 20:30,34
Disneyland,4/2/2024 20:35,35
Disneyland,4/2/2024 20:40,35
Disneyland,4/2/2024 20:45,37
Disneyland,4/2/2024 20:50,39
Disneyland,4/2/2024 20:55,32
Disneyland,4/2/2024 21:00,30
Disneyland,4/2/2024 21:05,29
Disneyland,4/2/2024 21:10,29
Disneyland,4/2/2024 21:15,29
Disneyland,4/2/2024 21:20,29
Disneyland,4/2/2024 21:25,28
Disneyland,4/2/2024 21:30,24
Disneyland,4/2/2024 21:35,23
Disneyland,4/2/2024 21:40,23
Disneyland,4/2/2024 21:45,21
Disneyland,4/2/2024 21:50,20
Disneyland,4/2/2024 21:55,22
Disneyland,4/2/2024 22:00,23
Disneyland,4/2/2024 22:05,23
Disneyland,4/2/2024 22:10,24
Disneyland,4/2/2024 22:15,25
Disneyland,4/2/2024 22:20,22
Disneyland,4/2/2024 22:25,22
Disneyland,4/2/2024 22:30,22
Disneyland,4/2/2024 22:35,21
Disneyland,4/2/2024 22:40,20
Disneyland,4/2/2024 22:45,20
Disneyland,4/2/2024 22:50,21
Disneyland,4/2/2024 22:55,21
Disneyland,4/2/2024 23:00,21
Disneyland,4/2/2024 23:05,19
Disneyland,4/2/2024 23:10,18
Disneyland,4/2/2024 23:15,17
Disneyland,4/2/2024 23:20,16
Disneyland,4/2/2024 23:25,16
Disneyland,4/2/2024 23:30,14
Disneyland,4/2/2024 23:35,14
Disneyland,4/2/2024 23:40,12
Disneyland,4/2/2024 23:45,12
Disneyland,4/2/2024 23:50,12
Disneyland,4/3/2024 8:05,9
Disneyland,4/3/2024 8:10,10
Disneyland,4/3/2024 8:15,12
Disneyland,4/3/2024 8:20,14
Disneyland,4/3/2024 8:25,13
Disneyland,4/3/2024 8:30,14
Disneyland,4/3/2024 8:35,17
Disneyland,4/3/2024 8:40,16
Disneyland,4/3/2024 8:45,18
Disneyland,4/3/2024 8:50,19
Disneyland,4/3/2024 8:55,19
Disneyland,4/3/2024 9:00,19
Disneyland,4/3/2024 9:05,22
Disneyland,4/3/2024 9:10,22
Disneyland,4/3/2024 9:15,22
Disneyland,4/3/2024 9:20,22
Disneyland,4/3/2024 9:25,23
Disneyland,4/3/2024 9:30,25
Disneyland,4/3/2024 9:35,27
Disneyland,4/3/2024 9:40,28
Disneyland,4/3/2024 9:45,27
Disneyland,4/3/2024 9:50,28
Disneyland,4/3/2024 9:55,33
Disneyland,4/3/2024 10:00,32
Disneyland,4/3/2024 10:05,33
Disneyland,4/3/2024 10:10,33
Disneyland,4/3/2024 10:15,34
Disneyland,4/3/2024 10:20,36
Disneyland,4/3/2024 10:25,39
Disneyland,4/3/2024 10:30,42
Disneyland,4/3/2024 10:35,43
Disneyland,4/3/2024 10:40,43
Disneyland,4/3/2024 10:45,40
Disneyland,4/3/2024 10:50,41
Disneyland,4/3/2024 10:55,42
Disneyland,4/3/2024 11:00,42
Disneyland,4/3/2024 11:05,41
Disneyland,4/3/2024 11:10,40
Disneyland,4/3/2024 11:15,41
Disneyland,4/3/2024 11:20,43
Disneyland,4/3/2024 11:25,42
Disneyland,4/3/2024 11:30,42
Disneyland,4/3/2024 11:35,43
Disneyland,4/3/2024 11:40,41
Disneyland,4/3/2024 11:45,41
Disneyland,4/3/2024 11:50,43
Disneyland,4/3/2024 11:55,43
Disneyland,4/3/2024 12:00,42
Disneyland,4/3/2024 12:05,42
Disneyland,4/3/2024 12:10,39
Disneyland,4/3/2024 12:15,40
Disneyland,4/3/2024 12:20,40
Disneyland,4/3/2024 12:25,37
Disneyland,4/3/2024 12:30,37
Disneyland,4/3/2024 12:35,39
Disneyland,4/3/2024 12:40,38
Disneyland,4/3/2024 12:45,39
